Station Name,Latitude,Longitude,Elevation,Year,Month,Day,Dew Point,Dew Point Flag,Max Temp,Max Temp Flag,Min Temp,Min Temp Flag,Heating Degree Days,Heating Degree Days Flag,Accumulated Daily Heating Degree Days,Accumulated Daily Heating Degree Days Flag,Cooling Degree Days,Cooling Degree Days Flag,Accumulated Daily Cooling Degree Days,Accumulated Daily Cooling Degree Days Flag,Rainfall,Rainfall Flag
Grand Forks,47.83633,-97.066838,846,2020,4,20,28.136,,45.189,,28.981,,28,,28,,0,,0,,0,
Greenbush,48.704,-96.325,1000,2020,4,20,24.097,,39.166,,23.724,,34,,34,,0,,0,,0,
Harvey,47.730459,-99.91937,1620,2020,4,20,26.125,,49.622,,25.786,,27,,27,,0,,0,,0,
Hazen,47.302,-101.679,1849,2020,4,20,24.988,,58.352,,24.969,,23,,23,,0,,0,,0,
Hettinger,46.011,-102.643,2758,2020,4,20,26.408,,61.862,,30.254,,19,,19,,0,,0,,0,
Hillsboro,47.353,-96.922,886,2020,4,20,31.44,,46.886,,29.304,,27,,27,,0,,0,,0,
Hofflund,48.1647,-103.1086,1937,2020,4,20,24.771,,57.812,,33.89,,19,,19,,0,,0,,0,
Hope,47.368352,-97.640306,1131,2020,4,20,30.599,,48.704,,26.46,,27,,27,,0,,0,,0,
Humboldt,48.884,-97.15,798,2020,4,20,23.381,,41.398,,20.379,,34,,34,,0,,0,,0,
Inkster,48.1664,-97.7104,1149,2020,4,20,26.775,,43.133,,23.992,,31,,31,,0,,0,,0.02,
Jamestown,46.906,-98.927,1635,2020,4,20,26.283,,54.824,,25.525,,25,,25,,0,,0,,0,
Karlsruhe,48.123,-100.625,1547,2020,4,20,23.59,,51.656,,22.323,,28,,28,,0,,0,,0,
Kennedy,48.636709,-97.041117,801,2020,4,20,25.396,,42.289,,24.431,,32,,32,,0,,0,,0,
Langdon,48.759878,-98.344569,1616,2020,4,20,24.43,,41.236,,21.558,,34,,34,,0,,0,,0,
Leonard,46.729381,-97.28347,949,2020,4,20,30.047,,56.12,,23.4,,25,,25,,0,,0,,0,
Linton,46.328,-100.277,1993,2020,4,20,25.898,,61.322,,31.932,,18,,18,,0,,0,,0,
Lisbon,46.444766,-97.721064,1210,2020,4,20,29.984,,57.344,,28.746,,22,,22,,0,,0,,0,
Mandan,46.774,-100.914,1942,2020,4,20,25.347,,61.484,,29.019,,20,,20,,0,,0,,0,
Marion,46.5645,-98.3276,1453,2020,4,20,29.982,,58.136,,28.569,,22,,22,,0,,0,,0,
Mavie,48.121,-95.971,1168,2020,4,20,24.995,,41.405,,24.305,,32,,32,,0,,0,,0,
Mayville,47.498,-97.262,952,2020,4,20,29.729,,47.75,,24.348,,29,,29,,0,,0,,0,
McHenry,47.685,-98.623,1676,2020,4,20,25.862,,48.488,,23.284,,29,,29,,0,,0,,0,
Michigan,48.019,-98.172,1521,2020,4,20,26.712,,45.025,,21.857,,32,,32,,0,,0,,0,
Minot,48.18045,-101.30791,1764,2020,4,20,22.353,,50.36,,27.163,,26,,26,,0,,0,,0,
Mohall,48.76383333,-101.5336167,1642,2020,4,20,23.846,,49.604,,29.145,,26,,26,,0,,0,,0,
Mooreton,46.224074,-96.894987,985,2020,4,20,32.506,,57.344,,26.737,,23,,23,,0,,0,,0.007,
Mott,46.38,-102.322,2473,2020,4,20,26.028,,60.962,,30.675,,19,,19,,0,,0,,0,
Oakes,46.073734,-98.093426,1318,2020,4,20,31.119,,60.296,,29.341,,20,,20,,0,,0,,0,
Pekin,47.807624,-98.310573,1506,2020,4,20,26.411,,46.688,,23.283,,30,,30,,0,,0,,0,
Perley,47.179,-96.68,895,2020,4,20,30.102,,50.306,,28.432,,26,,26,,0,,0,,0.01,
Pillsbury,47.225,-97.791,1287,2020,4,20,29.534,,50.27,,26.175,,27,,27,,0,,0,,0,
Plaza,47.862,-101.958,2117,2020,4,20,24.514,,54.212,,24.116,,26,,26,,0,,0,,0,
Prosper,47.002,-97.115,934,2020,4,20,31.985,,50.738,,28.033,,26,,26,,0,,0,,0,
Redstone,48.821094,-104.842003,2402,2020,4,20,26.833,,57.794,,34.947,,19,,19,,0,,0,,0,
Robinson,47.173,-99.798,1829,2020,4,20,26.234,,52.052,,28.411,,25,,25,,0,,0,,0,
Rolla,48.843,-99.614,1810,2020,4,20,21.729,,45.291,,20.725,,32,,32,,0,,0,,0,
Roseau,48.685,-95.734,1108,2020,4,20,20.414,,39.996,,23.36,,33,,33,,0,,0,,0,
Ross,48.312752,-102.450401,2316,2020,4,20,23.788,,51.926,,29.574,,24,,24,,0,,0,,0,
Rugby,48.354,-100.063,1494,2020,4,20,24.682,,49.064,,25.315,,28,,28,,0,,0,,0,
Sabin,46.794389,-96.611683,919,2020,4,20,31.483,,52.052,,29.327,,24,,24,,0,,0,,0,
Sidney,47.729819,-104.152406,1950,2020,4,20,26.07,,64.598,,39.702,,13,,13,,0,,0,,0,
Stephen,48.45675,-96.853953,1072,2020,4,20,25.046,,42.791,,23.074,,32,,32,,0,,0,,0,
Streeter,46.715063,-99.450434,1992,2020,4,20,27.089,,54.644,,28.708,,23,,23,,0,,0,,0,
St. Thomas,48.601,-97.493,865,2020,4,20,26.217,,43.736,,27.495,,29,,29,,0,,0,,0,
Tappen,46.881,-99.58,1815,2020,4,20,25.459,,55.778,,23.081,,26,,26,,0,,0,,0,
Turtle Lake,47.568,-100.915,1927,2020,4,20,24.625,,52.916,,29.673,,24,,24,,0,,0,,0,
Ulen,47.050473,-96.108432,1221,2020,4,20,28.039,,48.236,,26.728,,28,,28,,0,,0,,0.01,
Wahpeton,46.355,-96.666,969,2020,4,20,32.578,,55.184,,27.127,,24,,24,,0,,0,,0,
Warren,48.137,-96.839,854,2020,4,20,27.152,,42.429,,25.675,,31,,31,,0,,0,,0,
Watford City,47.81042,-103.23217,2141,2020,4,20,25.699,,59.27,,34.844,,18,,18,,0,,0,,0,
Waukon,47.325859,-96.132504,1165,2020,4,20,25.101,,47.75,,21.234,,31,,31,,0,,0,,0,
Williams,48.858454,-94.980897,1093,2020,4,20,17.219,,38.719,,23.337,,34,,34,,0,,0,,0,
Williston,48.133,-103.739,2132,2020,4,20,25.333,,58.964,,36.781,,17,,17,,0,,0,,0,
Wishek,46.26,-99.666,2219,2020,4,20,25.955,,58.802,,26.874,,22,,22,,0,,0,,0,
