"degree","program","state","water","relationship","gender","moist","country","city","CityID","long","lat"
"Masters","ECS","ND","Damp","I like data. I want to know how to better interpret data. I want to do this in R.","Female",NA,"US","Bismarck","Bismarck, ND","-100.78374","46.80833"
"Other","Range","AK","Damp","Organized Messy Complicated","Female",NA,"US","Anchorage","Anchorage, AK","-149.90028","61.21806"
"Masters","Entomology","ID","Damp","Complicated, Intrigued, Bewildered, Tearful","Male",NA,"US","Moscow","Moscow, ID","-117.00017","46.73239"
"Masters","Range","KY","Moist","expanding; experienced at recording, TBD on analyzing/manipulating; currently playing around with it; figuring it out; amicable","Female",NA,"US","Murray","Murray, KY","-88.31476","36.61033"
"Masters","ECS","MN","Moist","arduous necessary okay laborious simplistic remedial","Non-binary",NA,"US","Moorhead","Moorhead, MN","-96.76951","46.87386"
"Masters","ECS","LA","Moist","Strugglebus, interest, time, frustrating, disinterest,","Male",NA,"US","Lafayette","Lafayette, LA","-92.01984","30.22409"
"Masters","ECS","NC","Moist","hesitant, necessary, interested, unsure","Female","Oh man I can't stand it!","US","Raleigh","Raleigh, NC","-78.63861","35.7721"
"PhD","ECS","MO","Moist","love-hate, fragile","Female",NA,"US","Fayette","Fayette, MO","-92.68379","39.14587"
"PhD","ECS",NA,"Moist","Inevitable, interesting, intriguing, could be frustrating but overall pretty good","Male",NA,"Nigeria","Lagos","Lagos, Nigeria","3.39467","6.45407"
"Masters","ECS","MN","Damp","Frustrating, Humbling","Female",NA,"US","Morris","Morris, MN","-95.91394","45.58607"
"Masters","ECS","GA","Damp","Curious, interested, organized","Female","Oh man I can't stand it!","US","Athens","Athens, GA","-83.37794","33.96095"
"Masters","Range",NA,"Moist","Afraid confused intimidated","Female",NA,"Canada","Saskatoon","Saskatoon, Canada","-106.66892","52.13238"
"PhD","Other",NA,"Damp","Foundation, Vital, preprocessing, mining, database, data structure, queries, sorting","Male",NA,"Bangladesh","Dhaka","Dhaka, Bangladesh","90.40744","23.7104"
